% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (6.870000000000e+00) | measured fitness | best measured fitness | x1 | x2...
18 0 +8.279411321e+00 +8.279411321e+00 -1.223305887e+02 -1.223305887e+02 -9.0766e-01 +1.2187e+00 +3.3714e+00 -1.2993e+00 -2.9981e+00 +3.3624e+00 +3.8646e+00 -5.6895e-01 -4.7855e+00 -2.2062e+00 -2.8704e+00 +1.9746e+00 -3.3234e+00 -2.8408e+00 -4.2877e+00 -2.4821e+00 -2.9481e+00 -2.7008e+00 +1.2924e+00 -4.5303e+00
24 0 +7.145078358e+00 +7.145078358e+00 -1.234649216e+02 -1.234649216e+02 -1.9374e-01 -4.8895e+00 +1.8262e+00 +1.4837e+00 +4.6690e+00 +5.0201e-03 -4.2105e+00 -2.5990e+00 +2.0322e+00 +1.5891e+00 -4.3674e+00 -2.2276e+00 +2.6237e+00 +2.8217e+00 -4.6654e+00 -4.3990e+00 -3.5040e-01 +5.3173e-01 +1.5124e+00 +1.7692e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-2.231200000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.210043326e+01 +2.210043326e+01 -2.010195667e+02 -2.010195667e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.668962131e+01 +1.668962131e+01 -2.064303787e+02 -2.064303787e+02 -1.4810e+00 +2.7768e+00 -4.1211e+00 -2.3477e+00 +1.3874e+00 +4.4525e-01 -1.6502e+00 +4.9949e+00 -3.2003e+00 +2.6150e+00 -2.4314e+00 +2.2369e+00 +3.7834e+00 +1.8386e-01 +1.3665e+00 -4.6252e+00 -4.8814e+00 +2.7793e-01 +3.3029e-01 +3.2126e+00
3 0 +1.568004971e+01 +1.568004971e+01 -2.074399503e+02 -2.074399503e+02 -1.8419e+00 -3.9281e+00 -6.2774e-01 -1.4026e+00 +2.3805e+00 +4.3518e+00 +2.0691e+00 +3.9095e+00 +2.7237e+00 +3.7165e+00 -1.7278e+00 +4.9485e+00 -4.0713e+00 -3.3746e+00 -3.3908e+00 -4.7114e+00 +4.5874e+00 -1.2022e+00 -2.0428e+00 -4.8802e+00
4 0 +1.139249320e+01 +1.139249320e+01 -2.117275068e+02 -2.117275068e+02 -4.6299e+00 +1.2710e+00 +4.1546e+00 +2.0172e+00 +2.6768e+00 +3.0039e+00 +3.8124e+00 -1.5869e+00 -2.0286e+00 +9.8705e-01 -3.7991e+00 +3.2772e+00 -4.4254e+00 +2.1330e+00 +2.0842e+00 +1.3403e+00 -2.4917e+00 +7.9219e-01 +3.9481e+00 +1.0211e+00
10 0 +1.012554615e+01 +1.012554615e+01 -2.129944538e+02 -2.129944538e+02 +8.8830e-01 +2.1544e+00 +4.7514e+00 -2.3102e+00 -1.8729e+00 +1.5137e+00 -5.7932e-02 +3.3999e+00 +1.3924e+00 -1.8158e+00 -3.0656e+00 +2.2060e+00 -4.8265e+00 +3.1143e-01 -3.5307e+00 -4.7138e+00 -3.7675e-01 +2.0774e+00 -3.1869e+00 -1.3254e+00
14 0 +9.816815640e+00 +9.816815640e+00 -2.133031844e+02 -2.133031844e+02 -4.5734e+00 +1.5891e+00 -4.7896e+00 +1.6073e+00 -4.4089e+00 +3.4369e+00 +4.3768e+00 +3.9795e+00 -4.3064e+00 +3.9981e+00 -4.2395e+00 +2.1676e+00 -1.6786e+00 +2.7761e+00 -3.9201e+00 -3.5512e+00 +2.4861e+00 -4.1012e+00 -3.3437e+00 +1.8665e+00
16 0 +7.556162779e+00 +7.556162779e+00 -2.155638372e+02 -2.155638372e+02 +4.3793e+00 +1.0645e+00 +2.5737e-01 -1.9656e+00 +4.7922e+00 +2.9257e+00 -4.1773e+00 +2.9669e+00 -5.0901e-01 -3.1560e+00 -4.1849e+00 +3.1954e+00 -1.4605e+00 -3.0165e+00 +2.9180e+00 +4.8581e+00 -4.7922e+00 -5.9324e-01 +6.1321e-02 -3.7375e+00
24 0 +6.127516597e+00 +6.127516597e+00 -2.169924834e+02 -2.169924834e+02 +1.7859e+00 -4.5559e+00 -3.2505e+00 +3.5415e+00 +3.9357e+00 +3.4262e+00 +3.8416e+00 -2.6812e+00 +2.7675e+00 -4.7516e-02 -1.0118e+00 -4.6933e+00 -2.1746e+00 -3.6194e+00 -5.0323e-02 +3.7145e+00 -4.8372e+00 -1.4007e+00 -3.0432e+00 -4.1237e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-4.443000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +1.439186561e+01 +1.439186561e+01 -3.003813439e+01 -3.003813439e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.287137861e+01 +1.287137861e+01 -3.155862139e+01 -3.155862139e+01 +2.8614e+00 +1.8774e+00 +3.8539e+00 +2.5910e+00 +1.2358e+00 +2.5957e+00 -3.1535e+00 -1.9022e+00 -1.5004e+00 -8.2306e-01 +1.6992e+00 -3.3914e+00 +2.4427e+00 -1.2177e+00 -1.0991e+00 +4.9714e+00 +2.4877e+00 -1.2380e+00 -4.9670e+00 -1.9107e+00
10 0 +1.115211391e+01 +1.115211391e+01 -3.327788609e+01 -3.327788609e+01 -2.9084e+00 -2.7888e+00 -4.4737e+00 -4.0442e+00 +2.2919e+00 +4.7228e+00 -2.0723e+00 +1.0961e+00 +3.5729e+00 -4.1479e+00 +3.3927e+00 +3.6182e+00 +4.2413e+00 +2.0590e+00 +3.8558e+00 -2.1042e+00 +9.3139e-02 -2.4445e+00 -1.3775e-01 +2.8919e+00
14 0 +7.962021727e+00 +7.962021727e+00 -3.646797827e+01 -3.646797827e+01 -4.3806e+00 -8.0698e-01 +1.7836e+00 +1.4700e-01 +3.3305e+00 +4.2038e+00 -2.1557e+00 -4.3252e+00 -3.1564e-02 -4.5744e+00 -8.4938e-01 +1.3695e+00 +1.6346e+00 +1.7591e+00 +1.8657e+00 -6.1582e-01 -8.3816e-01 -4.5081e+00 +5.2730e-01 +1.2211e+00
23 0 +6.602543202e+00 +6.602543202e+00 -3.782745680e+01 -3.782745680e+01 -2.3162e-01 -2.6093e+00 +4.8141e+00 +3.4201e+00 +3.4587e+00 +3.6386e+00 +1.9301e+00 -4.7359e+00 -1.9595e+00 +3.9381e+00 +2.4704e+00 +4.9431e+00 -4.1387e+00 -3.9365e+00 -1.8311e+00 +2.7774e-01 -2.4444e+00 +3.6048e+00 -3.5219e+00 -2.3536e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (2.557800000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.006376743e+01 +2.006376743e+01 +2.758437674e+02 +2.758437674e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.574231883e+01 +1.574231883e+01 +2.715223188e+02 +2.715223188e+02 -5.7663e-01 -2.8169e+00 +1.1900e+00 +3.4209e+00 +4.0461e+00 -2.7717e+00 +2.0646e+00 -1.6143e-01 +3.4238e+00 +3.9192e+00 -5.6801e-01 +4.8192e+00 +2.4203e+00 +9.4130e-01 +2.7717e+00 -8.5782e-01 -1.3361e+00 -3.5927e-01 +7.8996e-01 +2.6480e+00
3 0 +8.768985889e+00 +8.768985889e+00 +2.645489859e+02 +2.645489859e+02 -4.0333e+00 -4.2107e+00 -1.6002e+00 +2.2934e+00 +1.6728e+00 +2.8521e+00 +2.7804e+00 -7.4090e-01 -3.1432e+00 +9.1791e-01 +2.5835e+00 +1.9672e+00 -4.4281e+00 +4.5618e+00 -2.2917e+00 +1.5656e+00 +3.2035e+00 -4.3912e+00 +2.4736e+00 -3.3774e+00
7 0 +7.609576266e+00 +7.609576266e+00 +2.633895763e+02 +2.633895763e+02 -2.8747e+00 -4.3168e+00 +1.6755e+00 -2.6920e+00 -5.9224e-02 +4.2572e+00 +3.4033e+00 +1.6961e+00 -1.6925e+00 -6.8397e-01 +1.8299e+00 -2.9208e+00 -3.3999e+00 +6.8592e-01 -3.8609e+00 -3.7798e+00 -5.5673e-01 -4.6438e+00 +1.9856e+00 +6.5256e-01
26 0 +7.548661266e+00 +7.548661266e+00 +2.633286613e+02 +2.633286613e+02 -3.3088e+00 +2.5820e+00 +3.2571e+00 +3.9317e+00 +1.9531e+00 +1.3520e+00 +2.8457e-01 -4.6016e+00 -1.4273e+00 +1.4504e+00 -4.3493e-01 +2.2581e+00 +3.6506e+00 -3.1516e+00 +1.3968e+00 +2.3112e+00 +1.4276e+00 -1.3666e+00 -3.0137e+00 +2.2261e+00
32 0 +6.009055738e+00 +6.009055738e+00 +2.617890557e+02 +2.617890557e+02 +4.6989e+00 -1.9462e+00 -2.6048e+00 +4.5436e+00 -3.2920e+00 -4.1347e+00 +3.9320e+00 -1.7875e+00 +1.7202e-01 +4.5059e+00 +2.5867e+00 +4.4086e+00 +3.5487e+00 -3.5001e-02 -3.3412e+00 +3.5453e+00 +1.9805e+00 -1.7785e+00 +3.3222e+00 +7.2239e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (1.000000000000e+03) | measured fitness | best measured fitness | x1 | x2...
1 0 +1.414947559e+01 +1.414947559e+01 +1.014149476e+03 +1.014149476e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
