% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-5.494000000000e+01) | measured fitness | best measured fitness | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1.650000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +6.567126701e+06 +6.567126701e+06 +6.567110201e+06 +6.567110201e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +1.986634523e+06 +1.986634523e+06 +1.986618023e+06 +1.986618023e+06 +1.2817e+00 +3.8368e-01 +3.9755e+00 -1.6978e+00 +4.5050e-01
4 0 +1.380715118e+05 +1.380715118e+05 +1.380550118e+05 +1.380550118e+05 -7.7026e-01 +3.5336e+00 +3.7491e+00 +3.0619e+00 -4.0657e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (1.000000000000e+03) | measured fitness | best measured fitness | x1 | x2...
1 0 +9.044319277e+06 +9.044319277e+06 +9.045319277e+06 +9.045319277e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +3.545773185e+06 +3.545773185e+06 +3.546773185e+06 +3.546773185e+06 +4.4652e+00 -2.0576e+00 +4.0634e+00 -3.1224e+00 -1.5261e-01
3 0 +1.952259250e+06 +1.952259250e+06 +1.953259250e+06 +1.953259250e+06 -1.8006e+00 -1.6211e+00 -1.8740e+00 -2.6492e+00 -2.7228e+00
4 0 +7.318278527e+05 +7.318278527e+05 +7.328278527e+05 +7.328278527e+05 +2.6501e+00 +4.8020e+00 +1.8130e+00 -3.2186e+00 +1.0474e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1.000000000000e+03) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.163363862e+05 +2.163363862e+05 +2.153363862e+05 +2.153363862e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1.527400000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +7.960355169e+06 +7.960355169e+06 +7.960202429e+06 +7.960202429e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +7.322161989e+06 +7.322161989e+06 +7.322009249e+06 +7.322009249e+06 +4.5284e+00 +3.4000e+00 -4.8007e+00 -2.6793e+00 -2.7092e-01
6 0 +1.366983889e+05 +1.366983889e+05 +1.365456489e+05 +1.365456489e+05 -1.8218e+00 +4.8588e+00 -6.0071e-01 -1.1735e+00 +1.4198e+00
