gen,indv,hh_fit,bbob_f001_i01_d10,bbob_f001_i02_d10,bbob_f001_i03_d10,bbob_f001_i04_d10,bbob_f001_i05_d10,bbob_f001_i71_d10,bbob_f001_i72_d10,bbob_f001_i73_d10,bbob_f001_i74_d10,bbob_f001_i75_d10,bbob_f015_i01_d10,bbob_f015_i02_d10,bbob_f015_i03_d10,bbob_f015_i04_d10,bbob_f015_i05_d10,bbob_f015_i71_d10,bbob_f015_i72_d10,bbob_f015_i73_d10,bbob_f015_i74_d10,bbob_f015_i75_d10
2,8,1.0,101.38839917423573,460.44997794555707,-184.0297855442365,-103.61649957850275,24.254157816109192,243.73509581103593,240.23316382138898,-557.6601267461602,-943.336066676841,28.920023696722286,1391.3635291535932,350.74134118311645,311.1372237358913,231.60212122069626,231.2759096125867,-149.36376674044095,327.87556257687584,243.4380112327114,-779.0910201719545,189.29038139403556
2,9,1.0,119.15630944037468,462.5038709254061,-195.77366225269955,-130.9284049183221,14.794614542041955,209.36472447633,224.95909015329414,-568.3533885472797,-950.7467666819313,36.674607152747285,1287.7242754593979,305.4090293235214,194.5697254346992,294.9781649989675,154.62272439639247,-124.9032508776449,292.407423330611,265.90285494331823,-687.9902450724896,133.81529262956977
2,0,1.0,121.93623821556564,484.4356364925428,-201.9976827803963,-92.37485686432822,20.18330463830104,232.3039663530536,228.35439230377034,-555.3832575460249,-931.3050506477471,29.10131565795621,1279.9387559329941,198.58783548536357,205.3510706817368,343.52591225771687,97.646560034022,-135.53942052441644,395.0146359740702,242.7589027893901,-781.9148105136094,182.8352933418707
2,1,1.0,122.0843812279733,433.5184631237675,-196.3363203067613,-94.86463386969226,-0.08368303574545521,262.20926269907454,240.12825496905984,-533.975349247374,-947.138332798651,32.71346294994031,1158.0069883336637,357.2795322358577,189.58274402079624,323.62111917502557,157.58422561613054,-85.76399871384149,378.0213385141926,157.35133542962245,-680.3557377881433,32.55407269556689
2,2,1.0,108.62805277929682,460.44366535198196,-211.7025578565462,-100.3460919337096,14.442270256250168,253.45663145245086,212.707217460875,-527.6776167987464,-944.8985777515812,27.451106792866657,1342.0498343343627,355.8667934056559,372.6688685685839,392.7073250464516,106.73611379345766,-135.30192815756678,290.87118492718537,445.270277467705,-672.8687685590758,219.03509734624922
2,3,1.0,114.99707985884649,448.35064285863336,-200.76905521200587,-115.80681577581856,17.28793496548723,231.58823662367288,221.5346254762927,-571.2640197471534,-950.2731532668719,14.412963695794279,1321.5280632215267,332.22535958407855,267.28851797811797,280.2874497831958,115.37338808769715,-90.98057718772554,278.40039051881183,152.61208091744112,-844.5144500454371,177.5822022510903
2,4,1.0,125.3583927840501,520.015651579823,-165.25975094226885,-100.0570973057376,14.2360518832269,216.9521748460819,203.77059186866558,-545.7913601481315,-947.9355509437858,13.073124789262888,1286.0960509394831,308.5545342220977,224.16680570007227,210.2145283086812,153.88075256865324,-89.4762141954725,323.13477497489555,187.20367714188592,-768.6585364031739,225.88703179354823
2,5,1.0,103.52113257863616,445.5350675890262,-191.6895563399911,-114.38753145338413,29.328116912479587,219.97289399372227,221.4065180043487,-542.9719980969096,-931.4930982147303,27.50845861739776,1305.173323428647,396.6345301176093,419.75544347356026,238.4994459423655,178.5539486812516,-127.16296834524206,273.08253880412144,285.6312471935074,-844.990123753971,145.91483083075204
3,6,0.5,102.40655048416252,456.2997780935169,-190.37370453251373,-102.1733153405948,17.714863665136114,231.34809324255335,225.543675036668,-540.7773577011799,-940.9452602213485,37.709573075278044,1324.6743157007097,330.84281139279915,146.2238430323685,231.4053373536591,171.8582999772966,-49.29327977305854,274.76052455561774,231.0297414667163,-765.3417836107019,256.0852372135888
3,7,0.5,102.10116796822717,415.1386071619919,-218.03024322237977,-101.62936913093814,4.715871956664124,250.17974205712855,231.08845698254646,-522.6414489288879,-943.1062192848154,6.9544634312390805,1233.955749930713,443.3158827332328,415.06685566977,266.8206313173001,174.22852321498164,-91.94880115562506,399.06322678870276,219.77058212223324,-746.8044435272383,156.73203496735417
3,8,0.5,126.71319476000124,480.37438275924285,-169.4728018031417,-104.36967467449483,25.367252032393225,210.0810834354032,195.95170786590842,-563.9143255963951,-955.352031800032,5.882807599598962,1245.314766123727,402.6905072528382,104.57064002732199,309.0895272516585,88.76962268565651,-169.6068361986118,369.810388555846,247.35946509821514,-714.8885398375403,228.58022330500413
3,9,0.5,104.36339480171284,466.99744968437744,-209.27720058951732,-123.66042294116178,31.503896952936046,223.44845669321307,214.77220549086874,-557.2133590854883,-943.5649517812701,27.322387439950763,1251.9455403177137,349.9588396724058,293.6452738651825,305.5879720895491,205.67164828091796,-171.82523823476734,398.26600530464407,237.8929082603558,-718.2212640705295,111.5945060901681
3,0,0.5,104.13080056932569,472.2653020384473,-213.22189222516516,-106.26328197687354,12.513628820948725,211.2892261461865,233.3060021166732,-547.3151378048465,-936.0558438770112,14.959049962581492,1265.0272307278897,311.4331132164516,206.20812749230902,338.08292609334,154.58981306849483,-95.38574806270577,408.95887216649226,224.8682366042239,-863.8263435283304,167.80874014171027
3,1,0.5,129.8647923117051,428.9958811345143,-166.81732347156316,-118.56798644554141,-8.362332385946544,242.82917296787232,229.2993533042697,-561.4597454527049,-930.0632276669144,11.214170100343868,1296.722036410922,461.0520090899196,365.11139350723033,266.4748851054295,238.38336519070066,-104.70323217240653,303.7623767327693,298.86613961117087,-760.4938715433213,165.6717411149141
3,2,0.5,128.81676951860214,432.55424715137383,-211.81470248774434,-86.312328653812,22.36467268948001,249.66733909903496,217.55079993450232,-556.2365907789994,-946.2064237424227,13.0545162907156,1358.3048992855724,275.64777725969213,431.29521921405706,288.9851819396897,154.45067709270592,-53.62604297480465,421.24520730697986,322.1736634479958,-768.6268870160045,153.3804278847438
