% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-9.210000000000e+00) | measured fitness | best measured fitness | x1 | x2...
1 0 +7.503520679e+01 +7.503520679e+01 +6.582520679e+01 +6.582520679e+01 -1.9634e+00 -2.8765e+00 +1.2539e+00 +3.7509e+00 -1.4805e+00
8 0 +5.838692669e+01 +5.838692669e+01 +4.917692669e+01 +4.917692669e+01 -2.1795e+00 +1.5071e+00 +1.0848e+00 +1.2376e+00 -3.8543e+00
15 0 +5.312844210e+01 +5.312844210e+01 +4.391844210e+01 +4.391844210e+01 -3.6541e+00 +1.4059e+00 +3.7743e+00 +4.3505e+00 -1.9446e+00
51 0 +5.082732901e+01 +5.082732901e+01 +4.161732901e+01 +4.161732901e+01 -3.0119e+00 +2.5045e+00 +4.1159e+00 +4.2111e+00 -1.8854e+00
53 0 +2.866859314e+01 +2.866859314e+01 +1.945859314e+01 +1.945859314e+01 -4.1165e+00 +2.4222e-01 +4.5120e+00 +4.7536e+00 -4.1838e+00
60 0 +1.071565811e+01 +1.071565811e+01 +1.505658112e+00 +1.505658112e+00 -2.8529e+00 +3.3902e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
107 0 +1.059149191e+01 +1.059149191e+01 +1.381491908e+00 +1.381491908e+00 -2.3869e+00 +3.9405e+00 +5.0000e+00 +5.0000e+00 -4.8679e+00
111 0 +9.753077794e+00 +9.753077794e+00 +5.430777944e-01 +5.430777944e-01 -1.8943e+00 +3.3924e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
118 0 +7.648153422e+00 +7.648153422e+00 -1.561846578e+00 -1.561846578e+00 -2.5661e+00 +5.0000e+00 +5.0000e+00 +4.9854e+00 -5.0000e+00
142 0 +7.076220852e+00 +7.076220852e+00 -2.133779148e+00 -2.133779148e+00 -2.0762e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
180 0 +6.828851893e+00 +6.828851893e+00 -2.381148107e+00 -2.381148107e+00 -1.8289e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
199 0 +6.652690746e+00 +6.652690746e+00 -2.557309254e+00 -2.557309254e+00 -1.6527e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
207 0 +6.260401875e+00 +6.260401875e+00 -2.949598125e+00 -2.949598125e+00 -1.2604e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
242 0 +5.959574832e+00 +5.959574832e+00 -3.250425168e+00 -3.250425168e+00 -9.5957e-01 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
264 0 +5.831529425e+00 +5.831529425e+00 -3.378470575e+00 -3.378470575e+00 -8.3153e-01 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
270 0 +5.549404814e+00 +5.549404814e+00 -3.660595186e+00 -3.660595186e+00 -5.4940e-01 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
280 0 +5.441205065e+00 +5.441205065e+00 -3.768794935e+00 -3.768794935e+00 -4.1820e-01 +4.9871e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
312 0 +5.194119814e+00 +5.194119814e+00 -4.015880186e+00 -4.015880186e+00 -1.7468e-01 +4.9891e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
331 0 +5.063103494e+00 +5.063103494e+00 -4.146896506e+00 -4.146896506e+00 -3.5658e-02 +4.9846e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
334 0 +4.935840577e+00 +4.935840577e+00 -4.274159423e+00 -4.274159423e+00 +9.0252e-02 +4.9960e+00 +5.0000e+00 +4.9966e+00 -5.0000e+00
366 0 +4.660702083e+00 +4.660702083e+00 -4.549297917e+00 -4.549297917e+00 +3.5983e-01 +4.9976e+00 +5.0000e+00 +4.9971e+00 -5.0000e+00
371 0 +4.329684804e+00 +4.329684804e+00 -4.880315196e+00 -4.880315196e+00 +7.0283e-01 +5.0000e+00 +5.0000e+00 +4.9942e+00 -5.0000e+00
417 0 +4.159192789e+00 +4.159192789e+00 -5.050807211e+00 -5.050807211e+00 +8.8284e-01 +4.9959e+00 +5.0000e+00 +4.9938e+00 -5.0000e+00
421 0 +3.889893481e+00 +3.889893481e+00 -5.320106519e+00 -5.320106519e+00 +1.1456e+00 +5.0000e+00 +5.0000e+00 +4.9937e+00 -5.0000e+00
