% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-6.211100000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +3.502399841e+10 +3.502399841e+10 +3.502399779e+10 +3.502399779e+10 +2.2367e+00 -6.7499e-02 -2.5745e+00 -1.2063e+00 +4.0031e+00 +3.4170e+00 -4.6711e-01 -3.2812e+00 -3.0393e+00 -1.0884e+00 -4.4249e+00 -4.5965e+00 -3.2099e+00 -1.7280e+00 +3.9473e+00 -2.8329e+00 -4.6402e+00 +1.8086e+00 +3.2163e-01 +3.8761e+00
2 0 +8.102766922e+09 +8.102766922e+09 +8.102766301e+09 +8.102766301e+09 -2.1717e+00 -1.6955e+00 -1.0283e+00 +3.6948e+00 -4.1088e+00 +4.8747e+00 +4.6242e+00 +3.5902e-01 +4.6482e+00 +2.6366e+00 -7.8947e-01 -1.0056e-01 -4.8232e+00 -1.0435e+00 +1.2705e+00 -1.9388e+00 -4.7369e+00 -3.6204e+00 -9.2287e-01 -2.2291e+00
5 0 +3.286122343e+09 +3.286122343e+09 +3.286121722e+09 +3.286121722e+09 +3.2580e+00 -2.0933e+00 +8.1314e-01 -1.7931e-01 -4.1096e+00 -2.3973e+00 -4.2761e+00 -1.3187e-02 -7.1178e-01 +3.5686e+00 -1.4236e+00 -6.0663e-01 -4.2385e+00 -1.4320e+00 -1.9383e+00 -2.1020e+00 +4.3131e+00 +2.2667e+00 +2.9053e+00 +3.1083e+00
8 0 +2.272111511e+09 +2.272111511e+09 +2.272110890e+09 +2.272110890e+09 +1.2667e+00 -2.2837e+00 +1.0623e+00 +2.0203e+00 -5.5992e-01 +7.8016e-01 -4.5556e+00 +4.1015e+00 -2.9230e-01 +3.9508e+00 +3.6251e+00 -1.2464e+00 -1.5673e+00 -8.4422e-01 +1.5185e-01 -4.1624e+00 -2.6260e+00 +1.3753e+00 -2.7551e+00 +4.8533e+00
13 0 +7.274808272e+08 +7.274808272e+08 +7.274802061e+08 +7.274802061e+08 +3.0532e+00 +1.4005e+00 -4.1175e+00 +3.2782e+00 +3.9769e+00 -2.8894e-01 +2.5136e+00 +4.7611e+00 -1.5568e+00 -3.6629e+00 +2.0951e-01 +7.4031e-01 +3.3221e+00 -1.3325e+00 -3.3968e+00 +3.4347e+00 +3.3409e+00 +4.8610e+00 +4.6685e+00 -2.8759e+00
21 0 +3.988550003e+08 +3.988550003e+08 +3.988543792e+08 +3.988543792e+08 +9.1537e-02 +1.3449e+00 +4.9588e+00 +7.5344e-01 +1.8013e+00 -7.8700e-01 -2.6670e+00 +4.5627e+00 +4.5525e-01 +4.2203e+00 -4.4045e+00 +4.2153e+00 +4.2745e-01 -2.0427e+00 +3.8482e+00 -4.9467e+00 +4.8538e+00 +2.9236e+00 +1.5821e+00 +4.0143e+00
33 0 +2.717505907e+08 +2.717505907e+08 +2.717499696e+08 +2.717499696e+08 +3.0041e-01 +2.6955e+00 -2.7886e+00 +2.8962e+00 +9.1476e-01 +1.2552e+00 +2.9829e+00 +2.3541e+00 +2.9875e+00 +2.1057e+00 +2.0531e+00 +1.6989e-01 +1.1279e+00 -2.7968e+00 +7.5210e-02 +3.0718e+00 -1.9538e+00 +6.0941e-01 +4.4691e+00 -9.3952e-01
52 0 +2.535223539e+08 +2.535223539e+08 +2.535217328e+08 +2.535217328e+08 -1.7561e+00 +4.1257e+00 -2.3150e+00 +2.6462e+00 +3.8410e+00 +7.5828e-01 +2.2928e+00 +2.3786e+00 +3.2104e+00 +2.3097e+00 +4.6210e+00 +1.4023e-01 +4.9184e+00 -3.8221e+00 +3.9503e-01 +4.1813e-01 -3.0412e+00 +4.3359e-01 +3.5657e+00 -6.1835e-01
107 0 +2.264551787e+08 +2.264551787e+08 +2.264545576e+08 +2.264545576e+08 -1.0342e+00 +4.1347e+00 -2.5173e+00 +2.1841e+00 +3.4529e+00 +4.2670e-01 +2.4285e+00 +1.5055e+00 +3.4400e+00 +2.3952e+00 +3.4807e+00 +2.1975e-01 +5.0000e+00 -3.8407e+00 +4.3712e-01 +8.4048e-01 -2.5728e+00 +4.9255e-01 +3.0187e+00 -7.5158e-01
112 0 +2.197857180e+08 +2.197857180e+08 +2.197850969e+08 +2.197850969e+08 -2.0572e+00 +4.5796e+00 +3.2026e-01 +3.3094e+00 +2.8228e+00 +7.5838e-01 +2.0118e+00 +2.3450e+00 +3.9676e+00 +2.2643e+00 +3.7495e+00 +5.9995e-01 +4.9311e+00 -3.4816e+00 +3.5934e-01 +7.0966e-01 -1.8534e+00 +4.0259e-01 +3.3718e+00 -9.2174e-01
122 0 +2.167498699e+08 +2.167498699e+08 +2.167492487e+08 +2.167492487e+08 -1.5138e+00 +3.6980e+00 -1.5514e+00 +2.7467e+00 +3.8824e+00 +4.2576e-01 +1.4121e+00 +2.9442e+00 +3.1801e+00 +2.3619e+00 +3.4140e+00 +1.6279e+00 +5.0000e+00 -4.2002e+00 +1.2336e+00 +3.1267e-01 -2.7667e+00 +1.7288e-01 +4.0875e+00 -9.2221e-01
164 0 +2.104619409e+08 +2.104619409e+08 +2.104613197e+08 +2.104613197e+08 -1.3903e+00 +3.2432e+00 -5.6746e-01 +3.1780e+00 +4.0051e+00 +2.7053e-01 +1.3166e+00 +2.8998e+00 +3.0411e+00 +2.3789e+00 +3.4492e+00 +2.3113e+00 +5.0000e+00 -4.2853e+00 +1.3469e+00 +3.5738e-01 -2.0283e+00 +3.0090e-01 +4.3339e+00 -9.2200e-01
168 0 +2.069816684e+08 +2.069816684e+08 +2.069810473e+08 +2.069810473e+08 -1.4791e+00 +3.6217e+00 -1.4973e+00 +2.7135e+00 +3.5418e+00 +4.3884e-01 +1.3572e+00 +2.8529e+00 +2.8097e+00 +2.4581e+00 +3.4464e+00 +2.9433e+00 +5.0000e+00 -4.1944e+00 +1.0336e+00 +8.9171e-02 -2.7737e+00 +1.6087e-01 +4.1839e+00 -5.9471e-01
172 0 +2.034559668e+08 +2.034559668e+08 +2.034553457e+08 +2.034553457e+08 -9.8819e-01 +3.8976e+00 -1.3755e+00 +2.8174e+00 +3.2728e+00 +5.8520e-01 +1.9866e+00 +2.9502e+00 +3.1854e+00 +2.7072e+00 +2.9563e+00 +1.1132e+00 +4.9326e+00 -4.2014e+00 +1.1982e+00 +2.1217e-01 -2.8257e+00 +1.5131e-01 +4.1810e+00 -5.7347e-01
